year,winter,spring,summer,autumn,annual
1955,281.9,212,149.2,207.9,892
1956,287.8,103.9,259.4,239.4,879
1957,358.9,170.6,270.1,294.3,1040
1958,339.4,169.1,297,332.4,1179
1959,268.4,233.2,175.3,293.8,1067
1960,452.3,192.7,305.3,509,1393
1961,383.3,181.5,180.2,303.1,1018
1962,321.4,213.8,194.4,222.4,927
1963,176.2,284,238.4,337.3,984
1964,111,217.9,156.7,216.4,790
1965,265,224,250.6,282.1,1129
1966,474.7,249.4,218.1,287.4,1144
1967,358.5,245.4,174.5,425.2,1156
1968,259.6,218.9,282.4,318.5,1084
1969,309.6,259.4,206.3,220.1,999
1970,381.6,187.5,217.8,346.3,1080
1971,260.5,169.1,251.2,233.3,912
1972,286.3,260.7,174.1,232.9,1069
1973,303.7,179.7,207.1,217.1,824
1974,413.5,117.1,240.5,388.5,1185
1975,307,166,140.3,243.5,796
1976,154.8,138.6,65.8,417.9,840
1977,389.1,202.2,204.7,274.6,1073
1978,366,194,174,132.3,935
1979,377.2,307.5,169.4,266.7,1124
1980,383.2,167.5,252.6,317.9,1034
1981,222.7,343.3,113.4,407.7,1121
1982,307,193.6,219.5,390.2,1123
1983,329.1,270.5,98.8,274.1,947
1984,385.5,105.8,100,439.1,1018
1985,242.3,208,326.8,184.9,1006
1986,310,265.2,223.4,308,1138
1987,293.7,221.3,186.6,372.8,978
1988,399,268.3,318.1,256.3,1211
1989,262.3,239.4,155.1,328,1123
1990,540.3,83.8,176.3,260.9,981
1991,312.2,202.5,222.9,284.7,962
1992,153.9,201.6,288,356.5,1044
1993,266.9,221.6,228.8,274.3,1123
1994,508.9,305.6,167.5,323.1,1269
1995,531.8,166.3,57.3,295.5,961
1996,309.9,216.2,141.3,322.4,936
1997,185.7,124.8,277.9,314.6,958
1998,278.5,274.3,225.8,406.9,1201
1999,350.1,204.7,208.1,311.2,1151
2000,371.2,274.6,139.9,558.2,1355
2001,424,273.8,187.2,280.8,1003
2002,308.9,211.1,176,436.5,1250
2003,319.1,162.3,161.9,240,842
2004,313.5,198.6,253,310.1,1034
2005,181.7,193.9,186.9,320.2,911
2006,194.5,248,121.1,342.9,943
2007,398.4,221.3,330.5,188.2,1129
2008,333.7,280.1,294.9,318.2,1172
2009,259.3,170.8,277.6,339.2,1096
2010,277.3,162.7,208.3,277.4,843
2011,241.8,85.9,232,227,892
2012,265.6,236.2,394.3,415.4,1396
2013,416.5,204.4,146,352.2,1075
2014,609.9,236.3,210.5,297.1,1254
2015,295.8,165.8,257.9,276.6,1077
2016,454.5,233.6,203,280.3,1058
2017,224.6,185.1,263.9,269.6,1041
2018,338.9,284.6,126.2,299.2,1057
